Time, Center Speed, Front Right Speed, Back Right Speed, Front Left Speed, Back Left Speed, Front Right Angle,,,
"	Back Right Angle", Front Left Angle, Back Left Angle,,,,,,,
15.2755905,0.0826083,0.932338,1.07344,0.932963,1.07398,-1.48926,-1.5,-1.66015,-1.6484
15.3509831,0.0827014,0.933723,1.07179,0.934332,1.07232,-1.49122,-1.50149,-1.65817,-1.64691
15.4278627,0.0833534,0.935725,1.06943,0.936306,1.06994,-1.49399,-1.50361,-1.65528,-1.64471
15.5022321,0.0656582,0.937321,1.0677,0.937752,1.06807,-1.49522,-1.50447,-1.65222,-1.64227
15.5850939,0.0961125,0.942152,1.06188,0.942714,1.06238,-1.50328,-1.51091,-1.64662,-1.63806
15.6580069,0.0639819,0.948359,1.05497,0.948663,1.05524,-1.50995,-1.51611,-1.63669,-1.63003
15.73932,0.077486,0.960032,1.04185,0.96028,1.04208,-1.52549,-1.52905,-1.62149,-1.6175
15.8161982,0.0766478,0.972496,1.02837,0.972623,1.02849,-1.54048,-1.54212,-1.60515,-1.60328
15.8980395,0.0758097,0.984954,1.01529,0.985,1.01534,-1.55481,-1.55529,-1.58947,-1.58891
15.974918,0.0758097,0.997422,1.00258,0.997426,1.00259,-1.56861,-1.56862,-1.57443,-1.57441
16.0523315,0.0775792,1.00902,0.991082,1.00902,0.991084,-1.58067,-1.58085,-1.56067,-1.56049
16.1267252,0.071153,1.01396,0.986268,1.01397,0.986281,-1.58577,-1.58619,-1.55504,-1.55459
16.2050939,0.0927597,1.01729,0.983046,1.01732,0.983078,-1.58895,-1.58958,-1.55107,-1.55038
16.3018096,0.0930429,1.01829,0.981725,1.01869,0.982144,-1.58117,-1.58156,-1.54078,-1.53966
16.3811431,0.12094,1.01785,0.981285,1.01911,0.982601,-1.56014,-1.55974,-1.51977,-1.51787
16.479379,0.0986398,1.01814,0.981577,1.01883,0.982296,-1.57413,-1.57425,-1.53374,-1.53236
16.5597329,0.136255,1.01818,0.98192,1.01849,0.98224,-1.58326,-1.58372,-1.5432,-1.54218
16.6345988,0.0827028,1.01526,0.984808,1.01548,0.985036,-1.5812,-1.58152,-1.54746,-1.54674
16.713494,0.0981614,1.01324,0.986956,1.01326,0.986984,-1.58447,-1.58483,-1.55528,-1.55487
16.7869007,0.0885771,1.01736,0.983496,1.01688,0.982995,-1.60225,-1.60334,-1.56478,-1.56457
16.8682448,0.0837264,1.02475,0.976135,1.02462,0.975998,-1.59989,-1.60134,-1.54649,-1.54528
16.9436374,0.0689179,1.02923,0.971754,1.02929,0.971823,-1.60121,-1.60301,-1.53835,-1.53643
17.0408218,0.0895001,1.03345,0.967797,1.03357,0.967919,-1.605,-1.60733,-1.53348,-1.53095
17.1221669,0.133645,1.03612,0.965256,1.03633,0.965482,-1.60665,-1.60929,-1.52965,-1.52663
17.199573,0.0766478,1.03806,0.963558,1.0382,0.963706,-1.60957,-1.61257,-1.52875,-1.5255
17.2744367,0.0971369,1.03994,0.961797,1.04013,0.962004,-1.61094,-1.6142,-1.52631,-1.52269
17.3528047,0.0952743,1.04231,0.959638,1.04252,0.959864,-1.61324,-1.61689,-1.52389,-1.51985
17.4267425,0.0906177,1.0463,0.956049,1.04653,0.956298,-1.61715,-1.62153,-1.51997,-1.51517
17.507589,0.0719912,1.04961,0.953127,1.04982,0.953359,-1.62066,-1.62571,-1.51707,-1.51162
17.5834764,0.0971369,1.05086,0.951924,1.05117,0.952267,-1.62106,-1.62629,-1.51496,-1.50915
17.6831721,0.121351,1.05062,0.95205,1.05102,0.952489,-1.62008,-1.62519,-1.51437,-1.50852
17.7585654,0.0983477,1.05034,0.952372,1.05066,0.952723,-1.62047,-1.62558,-1.51536,-1.50965
17.8388866,0.101514,1.04392,0.958119,1.04421,0.958432,-1.61411,-1.61799,-1.52153,-1.51712
17.9623903,0.138395,1.03284,0.968218,1.0331,0.968497,-1.60242,-1.60453,-1.53199,-1.5294
18.0412541,0.118092,1.02317,0.977376,1.02329,0.977501,-1.59365,-1.59472,-1.54328,-1.54199
18.1151876,0.0956468,1.01508,0.985154,1.01513,0.985201,-1.58604,-1.5865,-1.55286,-1.55232
18.19402,0.0956468,1.00361,0.9964,1.00362,0.996408,-1.57394,-1.57397,-1.56586,-1.56583
18.2699398,0.0685453,0.997573,1.00243,0.997573,1.00243,-1.56821,-1.56822,-1.57369,-1.57368
18.3458289,0.0728411,0.997297,1.0026,0.997404,1.00271,-1.58586,-1.58578,-1.59185,-1.59174
18.422711,0.0695366,0.999328,1.00061,0.999388,1.00067,-1.61175,-1.61169,-1.61319,-1.61314
18.5010751,0.069367,1.00089,0.999199,1.0008,0.999109,-1.61869,-1.61877,-1.61679,-1.61686
18.574484,0.0589554,1.00086,0.999162,1.00084,0.999144,-1.58119,-1.58121,-1.57928,-1.5793
18.6533174,0.0758117,1.00085,0.99916,1.00084,0.999146,-1.57907,-1.57909,-1.57717,-1.57718
18.7287393,0.0765583,1.00086,0.999162,1.00084,0.999144,-1.58143,-1.58145,-1.57953,-1.57954
18.8050915,0.0662513,1.00283,0.997653,1.00236,0.997176,-1.65508,-1.65552,-1.64927,-1.64968
18.8824993,0.0614657,1.00804,0.992961,1.00712,0.992028,-1.63328,-1.63423,-1.61644,-1.61713
18.9836844,0.057173,1.01539,0.98829,1.01199,0.984796,-1.6967,-1.70017,-1.66656,-1.66921
19.0764036,0.0568363,1.0249,0.985965,1.01474,0.975404,-1.81877,-1.82878,-1.77554,-1.78392
19.1548027,0.0123107,1.02343,0.979774,1.02089,0.977116,-1.64653,-1.64991,-1.59839,-1.59963
19.5927714,0.00111759,1.02021,0.982486,1.01801,0.980197,-1.64345,-1.64625,-1.60174,-1.60294
19.6989147,0.00419095,1.01985,0.982791,1.01769,0.980546,-1.64306,-1.64579,-1.60208,-1.60326
19.7792669,0.0057742,1.01985,0.98279,1.01769,0.980547,-1.64299,-1.64572,-1.60201,-1.60319
19.8536725,0.00586733,1.01985,0.982788,1.01769,0.980548,-1.64293,-1.64565,-1.60194,-1.60312
19.9290267,0.00987202,1.01985,0.982786,1.01769,0.980551,-1.64281,-1.64553,-1.60183,-1.60301
20.0069307,0.0136024,1.01935,0.982229,1.01823,0.98107,-1.61803,-1.61982,-1.57701,-1.57725
20.0833138,0.0235055,1.0199,0.982846,1.01763,0.980496,-1.64548,-1.6483,-1.6045,-1.60578
20.16066,0.0272879,1.02254,0.986299,1.01429,0.97774,-1.7896,-1.79778,-1.74936,-1.75611
20.2360844,0.0241658,1.02226,0.985892,1.01468,0.978029,-1.77331,-1.78089,-1.73294,-1.73908
20.3134583,0.00158325,1.0228,0.98556,1.01504,0.977504,-1.77369,-1.78147,-1.73237,-1.73863
20.7167063,0.00754889,1.02262,0.985668,1.01493,0.977681,-1.77347,-1.78118,-1.73246,-1.73868
20.7901148,0.0148127,1.01911,0.982357,1.01809,0.981304,-1.61562,-1.6173,-1.575,-1.57516
20.8689472,0.0331551,1.01283,0.987367,1.01284,0.987378,-1.58456,-1.58492,-1.55628,-1.5559
20.9627182,0.033062,1.00545,0.994588,1.00545,0.994591,-1.57661,-1.57667,-1.56446,-1.56439
21.0584491,0.0206772,0.999221,1.0008,0.999197,1.00078,-1.55645,-1.55647,-1.55823,-1.55825
21.546977,0.0245869,0.999209,1.00079,0.999209,1.00079,-1.56992,-1.56992,-1.5717,-1.5717
21.6447206,0.030268,0.999209,1.00079,0.999209,1.00079,-1.56992,-1.56992,-1.5717,-1.5717
21.7295366,0.0516986,0.999227,1.00081,0.999191,1.00077,-1.5501,-1.55013,-1.55188,-1.55191
21.8064166,0.049267,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57171,-1.57171
21.9120327,0.0636093,0.999209,1.00079,0.999209,1.00079,-1.56994,-1.56994,-1.57172,-1.57172
21.989905,0.0653788,0.999209,1.00079,0.999209,1.00079,-1.56994,-1.56994,-1.57172,-1.57172
22.0717783,0.0538304,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57171,-1.57171
22.1729603,0.0646338,0.999209,1.00079,0.999209,1.00079,-1.56994,-1.56994,-1.57172,-1.57172
22.251328,0.0539236,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57171,-1.57171
22.3247361,0.0550412,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57171,-1.57171
22.4016164,0.0552274,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57172,-1.57171
22.4804495,0.0562519,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57172,-1.57171
22.5568641,0.0455417,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57171,-1.57171
22.6307376,0.0570901,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57172,-1.57171
22.7096321,0.0573695,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57172,-1.57171
22.7830399,0.0458211,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57171,-1.57171
22.9080002,0.0569969,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57172,-1.57171
23.018609,0.102632,0.999209,1.00079,0.999209,1.00079,-1.56996,-1.56996,-1.57174,-1.57174
23.1068976,0.0804663,0.999209,1.00079,0.999209,1.00079,-1.56994,-1.56995,-1.57173,-1.57173
23.1813283,0.0461936,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57171,-1.57171
23.2879659,0.0569969,0.999209,1.00079,0.999209,1.00079,-1.56993,-1.56993,-1.57172,-1.57171
23.4888182,0.100883,0.999533,1.00045,0.999554,1.00047,-1.59065,-1.59063,-1.59168,-1.59166
23.6564684,0.00928758,1.00121,0.998846,1.00116,0.998791,-1.59246,-1.59251,-1.5898,-1.58985
28.2806988,0.00474975,1.00083,0.999209,1.00079,0.999172,-1.59205,-1.59208,-1.59022,-1.59026
28.355565,0.0117465,1.00164,1.00102,0.998983,0.998363,-2.88424,-2.8866,-2.88354,-2.8859
28.4626992,0.0286462,1.00209,1.00129,0.998717,0.997907,-2.87741,-2.88041,-2.8765,-2.8795
28.5386186,0.0462188,1.00221,1.00144,0.99856,0.997792,-2.90858,-2.91182,-2.90771,-2.91096
28.6164933,0.0450313,1.00227,1.00133,0.998672,0.997732,-2.85536,-2.85855,-2.8543,-2.8575
28.6923482,0.045944,1.00222,1.00142,0.99858,0.997781,-2.89884,-2.90207,-2.89794,-2.90118
28.7717082,0.0482293,1.00221,1.00144,0.99856,0.997792,-2.90849,-2.91173,-2.90762,-2.91087
28.8476273,0.0421193,1.00235,1.00166,0.998342,0.99765,-2.94883,-2.95239,-2.94805,-2.95162
28.9319467,0.0690724,1.00233,1.0019,0.998101,0.997676,-3.02773,-3.03148,-3.02725,-3.03101
29.0063471,0.0388245,1.00313,1.00279,0.997216,0.996873,-3.0743,-3.07955,-3.0739,-3.07918
29.0807486,0.0204808,1.00401,1.00341,0.996603,0.996,-3.04755,-3.05411,-3.04684,-3.05345
29.1600746,0.00111759,1.00451,1.00383,0.996183,0.995504,-3.04718,-3.05455,-3.04639,-3.05382
29.264732,0.00102445,1.00451,1.00383,0.996183,0.995504,-3.04718,-3.05455,-3.04639,-3.05382
29.3396278,0.010488,1.00475,1.0035,0.996516,0.995257,-2.9691,-2.97639,-2.96766,-2.97501
29.4170342,0.0224451,1.00463,1.00368,0.996341,0.995381,-3.00942,-3.01676,-3.00832,-3.01572
29.4934205,0.0374035,1.0045,1.00384,0.996178,0.995509,-3.04844,-3.05581,-3.04766,-3.05509
29.5975476,0.0563601,1.00427,1.0041,0.995914,0.995741,-3.11472,-3.12212,-3.1145,-3.12196
29.6719776,0.0758611,1.00432,1.00405,0.995967,0.995691,-3.10103,-3.10843,-3.10069,-3.10815
29.7473716,0.0711668,1.00426,1.00411,0.995901,0.995753,-3.11818,-3.12558,-3.11798,-3.12544
29.8271956,0.0743327,1.00426,1.00412,0.995898,0.995757,-3.119,-3.1264,-3.11882,-3.12628
29.9011295,0.0598945,1.00426,1.00412,0.995897,0.995757,-3.11917,-3.12657,-3.11898,-3.12645
29.9755295,0.0770348,1.00426,1.00411,0.9959,0.995754,-3.11845,-3.12585,-3.11826,-3.12572
30.1138822,0.0936648,1.00432,1.00404,0.995971,0.995688,-3.10004,-3.10744,-3.09969,-3.10715
30.2086497,0.124546,1.00435,1.00402,0.995996,0.995665,-3.09366,-3.10105,-3.09326,-3.10071
30.2874828,0.0767446,1.00422,1.00415,0.995864,0.99579,-3.12805,-3.13545,-3.12793,-3.1354
30.363866,0.0781385,1.0042,1.00417,0.995841,0.995813,-3.13415,-3.14155,-3.13409,-3.14155
30.4437531,0.0789762,1.00427,1.00427,0.995744,0.995742,-3.13764,3.138,-3.1376,3.13797
30.518121,0.0793487,1.0044,1.0044,0.995618,0.995617,-3.13752,3.13789,-3.13748,3.13786
30.5940091,0.0762753,1.00465,1.00465,0.995368,0.995366,-3.1373,3.13767,-3.13726,3.13763
30.6704261,0.0584871,1.00499,1.00499,0.995034,0.995032,-3.13704,3.13734,-3.137,3.1373
30.7656298,0.0853091,1.00562,1.00562,0.994408,0.994406,-3.1364,3.13687,-3.13634,3.13682
30.8732886,0.102259,1.00747,1.00747,0.992575,0.992571,-3.1347,3.13534,-3.1346,3.13524
30.9481904,0.0722706,1.00895,1.00894,0.991118,0.991113,-3.13344,3.13403,-3.13329,3.1339
31.0781332,0.0732951,1.01034,1.01034,0.989747,0.98974,-3.13217,3.13289,-3.13198,3.13271
31.1594505,0.122003,1.0125,1.01249,0.987633,0.987617,-3.12998,3.13136,-3.12969,3.13111
31.2383125,0.0772998,1.01377,1.01376,0.986388,0.986375,-3.12906,3.13011,-3.12871,3.12979
31.3157236,0.0773929,1.01505,1.01503,0.985146,0.985131,-3.12792,3.12908,-3.1275,3.1287
31.3980585,0.0784174,1.01632,1.0163,0.983907,0.983888,-3.12678,3.12806,-3.12629,3.12761
31.4902851,0.0786036,1.01759,1.01757,0.982668,0.982646,-3.12564,3.12703,-3.12507,3.12651
31.5750982,0.105239,1.01943,1.01939,0.9809,0.980864,-3.12379,3.12579,-3.12309,3.12517
31.7269015,0.127591,1.02203,1.02198,0.978395,0.978341,-3.12127,3.12395,-3.12037,3.12316
31.8201521,0.144169,1.02516,1.02508,0.975407,0.975328,-3.11831,3.12172,-3.11712,3.1207
31.9089054,0.108872,1.02759,1.02752,0.973067,0.972992,-3.11653,3.11946,-3.11513,3.11822
31.9828399,0.0713393,1.02925,1.0292,0.971461,0.971404,-3.11557,3.11767,-3.11403,3.11625
32.0557516,0.0671484,1.03161,1.03156,0.969216,0.969154,-3.11365,3.11574,-3.11185,3.11407
32.1326016,0.016648,1.03733,1.02932,0.971834,0.963279,-2.97729,-3.03393,-2.9661,-3.02651
39.4614583,0.00186265,1.04298,1.03381,0.967713,0.957823,-2.97384,-3.03867,-2.96065,-3.03047
39.5611515,0.00139698,1.05895,1.04658,0.956265,0.942547,-2.9644,-3.05188,-2.94514,-3.04195
39.6489471,0.0026077,1.06791,1.05379,0.94998,0.934072,-2.95921,-3.05906,-2.93626,-3.04845
39.8691725,0.00158325,1.06791,1.05378,0.949983,0.93407,-2.95916,-3.05901,-2.9362,-3.0484
39.9445316,0.00408934,1.06994,1.0554,0.94859,0.932166,-2.95789,-3.0605,-2.93407,-3.04975
40.0189324,0.00724818,1.06937,1.05492,0.949007,0.932696,-2.95798,-3.0598,-2.93437,-3.04905
40.0978268,0.00811107,1.05559,1.04382,0.958714,0.945743,-2.96563,-3.04835,-2.94763,-3.03864
40.1726923,0.00586807,1.03626,1.02842,0.972669,0.96431,-2.97697,-3.03201,-2.96609,-3.02469
40.4068337,0.00121072,1.03541,1.02774,0.973295,0.965137,-2.97747,-3.03126,-2.96689,-3.02407
40.4812024,0.00251457,1.03,1.02347,0.977276,0.970386,-2.98073,-3.02658,-2.97197,-3.02025
40.6805941,0.00400902,0.988238,0.99092,1.0092,1.01182,-3.00783,-2.98903,-3.01063,-2.99221
40.9796819,0.00298023,0.985589,0.988884,1.01129,1.0145,-3.00967,-2.98657,-3.01304,-2.99051
41.0545795,0.00717179,0.983779,0.987494,1.01273,1.01634,-3.01096,-2.98491,-3.01472,-2.98939
41.1314577,0.00468725,0.980071,0.984653,1.01568,1.02011,-3.01357,-2.98143,-3.01808,-2.98704
41.2892202,0.00223711,0.980071,0.984653,1.01568,1.0201,-3.0136,-2.98145,-3.01811,-2.98706
41.3639252,0.0181668,0.982281,0.983085,1.01717,1.01795,-3.13147,-3.09992,-3.13182,-3.10135
41.4432855,0.0320272,0.98388,0.986684,1.01353,1.01625,-3.04882,-3.02211,-3.05155,-3.0256
41.5201644,0.00892225,0.985508,0.988022,1.01215,1.0146,-3.04769,-3.02372,-3.05017,-3.02682
41.7473321,0.00149012,0.985508,0.988022,1.01215,1.0146,-3.0477,-3.02373,-3.05018,-3.02683
41.821236,0.0115484,0.986693,0.986691,1.01345,1.01345,3.12945,-3.12963,3.12977,-3.12994
41.9005656,0.0268227,0.987153,0.987309,1.01282,1.01297,3.13687,-3.1232,3.13699,-3.12367
41.9779752,0.044257,0.987751,0.988381,1.01174,1.01235,-3.12288,-3.1013,-3.12332,-3.10226
42.0513823,0.0366952,0.988734,0.988883,1.01122,1.01136,3.13894,-3.12403,3.139,-3.12442
42.1505776,0.0490839,0.98962,0.989826,1.01026,1.01046,-3.13967,-3.12113,-3.13971,-3.12155
42.2373795,0.066052,0.991365,0.991745,1.00831,1.00869,-3.12397,-3.10878,-3.12427,-3.10933
42.3152204,0.0494638,0.992671,0.992936,1.00711,1.00737,-3.12743,-3.1145,-3.12763,-3.11489
42.4357797,0.0467973,0.993999,0.994451,1.00558,1.00602,-3.10291,-3.09256,-3.10335,-3.09312
42.5151393,0.0911975,0.996877,0.996992,1.00302,1.00313,-3.12311,-3.11764,-3.12322,-3.11778
42.5905316,0.0588702,0.998584,0.998631,1.00137,1.00142,-3.12392,-3.12144,-3.12397,-3.1215
42.7060721,0.059983,1.00033,1.00032,0.999679,0.999671,-3.12729,-3.12787,-3.12728,-3.12786
42.8122443,0.102094,1.00336,1.00325,0.996764,0.996646,-3.11865,-3.12449,-3.11849,-3.12438
42.8893478,0.0847934,1.00642,1.00607,0.993963,0.993606,-3.10427,-3.11528,-3.10381,-3.11495
42.963721,0.0565561,1.00849,1.00805,0.992006,0.991565,-3.10473,-3.11926,-3.10412,-3.11889
43.0411247,0.0719222,1.01109,1.01059,0.989503,0.988994,-3.10615,-3.12514,-3.10538,-3.12478
43.1145331,0.0736961,1.01393,1.01326,0.986897,0.986208,-3.10187,-3.12558,-3.10078,-3.12514
43.1923782,0.0790396,1.01709,1.01593,0.984307,0.983101,-3.08725,-3.11594,-3.08543,-3.11508
43.2668096,0.0646277,1.01987,1.01814,0.982177,0.980381,-3.07363,-3.10655,-3.07102,-3.1052
43.3446808,0.0816647,1.0232,1.02145,0.978975,0.977149,-3.07799,-3.11649,-3.07512,-3.11535
43.4200421,0.0818279,1.02642,1.02473,0.975826,0.974043,-3.08204,-3.12594,-3.07894,-3.12513
43.4974481,0.0815324,1.02951,1.02789,0.9728,0.971079,-3.08486,-3.13392,-3.08155,-3.13347
43.5713221,0.0636366,1.0319,1.0303,0.970502,0.968795,-3.08574,-3.13874,-3.0822,-3.13856
43.6492243,0.0774252,1.03498,1.03323,0.96773,0.965859,-3.08346,-3.14135,-3.07941,-3.14133
43.7236243,0.0771608,1.03856,1.03625,0.964913,0.962431,-3.07486,-3.13808,-3.06976,-3.13782
43.8228207,0.0743107,1.04355,1.0401,0.961399,0.957645,-3.05929,-3.12957,-3.05223,-3.12854
43.913592,0.0865195,1.04972,1.04587,0.956073,0.951845,-3.0557,-3.1354,-3.04726,-3.13479
44.0147764,0.0844074,1.05505,1.0525,0.949846,0.94701,-3.0699,3.12429,-3.06194,3.12237
44.0891757,0.0836535,1.06119,1.05876,0.944127,0.941391,-3.06906,3.11565,-3.06005,3.11241
44.1680402,0.0691117,1.06623,1.06441,0.938942,0.936876,-3.07232,3.10433,-3.06291,3.09926
44.2429138,0.0515974,1.07033,1.0691,0.934656,0.933251,-3.07492,3.09518,-3.06523,3.08842
44.3252396,0.0322888,1.07719,1.06952,0.935141,0.926294,-3.02218,-3.14064,-3.00393,-3.14049
44.4165071,0.0028886,1.07775,1.07002,0.934713,0.925784,-3.02171,-3.14095,-3.00326,-3.14085
44.7290154,0.00195799,1.08015,1.07219,0.932832,0.923598,-3.02008,3.14052,-3.00077,3.14035
44.8083754,0.00292441,1.08704,1.07844,0.92746,0.917369,-3.0156,3.13549,-2.99377,3.13442
45.209143,0.00601839,1.09271,1.08357,0.923112,0.912278,-3.0118,3.13159,-2.98777,3.12971
45.2845346,0.00335276,1.08457,1.07614,0.929441,0.919588,-3.01676,3.13776,-2.99579,3.13711
45.8464703,0.00158325,1.02141,1.01911,0.981256,0.978862,-3.05986,-3.09489,-3.0565,-3.09297
46.2199902,0.00693507,0.999325,0.9994,1.0006,1.00068,-3.07663,-3.07549,-3.07671,-3.07558
46.3023266,0.0018083,0.987951,0.989299,1.01082,1.01214,-3.08563,-3.06508,-3.08689,-3.06681
47.5453645,0.00149012,0.978842,0.981235,1.01913,1.02143,-3.09306,-3.05655,-3.09498,-3.0599
